cdacordao,tipo,PC1,PC2,PC3,PC4,PC5,PC6
1857403,f(ementa),-0.260740,0.156856,0.073916,0.001735,0.076572,0.250957
1857409,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857410,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857421,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857422,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857432,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857433,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857444,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857445,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1856344,f(ementa),-0.096730,-0.015759,-0.007971,-0.250934,-0.007099,0.141244
1856556,f(ementa),-0.157465,-0.340517,-0.040952,0.135530,0.137100,0.148242
1854823,f(ementa),-0.148673,0.068761,0.007043,-0.228489,0.085488,0.148538
1854859,f(ementa),-0.306654,0.268048,0.140368,0.052307,0.082547,0.191941
1854896,f(ementa),-0.271696,0.108083,-0.040573,-0.195616,0.006847,0.116919
1854921,f(ementa),-0.253396,0.130824,-0.092719,-0.215663,0.058801,0.105391
1854961,f(ementa),-0.294160,0.169077,0.086968,0.124878,0.051458,0.077367
1854967,f(ementa),-0.184700,0.049173,-0.069984,-0.343102,-0.030017,0.069381
1854982,f(ementa),-0.128485,-0.037515,0.014165,-0.156630,0.102043,0.033485
1854990,f(ementa),-0.187305,0.232953,0.207510,-0.007249,0.022332,0.091423
1855017,f(ementa),-0.172726,0.156643,0.156471,0.009071,0.031512,0.182949
1855041,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1855044,f(ementa),-0.237974,0.208936,0.259038,0.045341,0.007815,0.051700
1855055,f(ementa),-0.175521,-0.309641,0.066852,-0.027445,0.113644,-0.001793
