cdacordao,tipo,x,y
1861673,f(descricao),34.782719,-6.412553
1861673,f(mean HyDE),-8.523743,-31.253441
1861690,f(ementa),-39.242882,-10.819038
1861690,f(descricao),34.302742,-6.356256
1861690,f(mean HyDE),-6.294055,-28.273430
1861698,f(ementa),-22.679998,-12.582902
1861698,f(descricao),39.128063,3.227442
1861698,f(mean HyDE),-22.167982,-11.915900
1861699,f(ementa),-39.510933,-11.729378
1861699,f(descricao),33.112141,-6.886929
1861699,f(mean HyDE),-8.898808,-30.897753
1861715,f(ementa),-39.036430,-9.314736
1861715,f(descricao),35.201511,-6.930028
1861715,f(mean HyDE),-8.334599,-29.507341
1861716,f(ementa),-39.893871,-11.423198
1861716,f(descricao),34.198666,-7.276841
1861716,f(mean HyDE),-9.099458,-30.295576
1861730,f(ementa),-40.124474,-11.096553
1861730,f(descricao),34.453564,-6.947690
1861730,f(mean HyDE),-5.967696,-31.678846
1861731,f(ementa),-41.312271,-10.006567
